SMA12_1;SMA12_2;PARAM12_1;PARAM12_2;PARAM12_3;PARAM12_4;SMA4_1;SMA4_2;SMA4_3;SMA4_4;Profit;Loss deals;Profit deals;Maximum loss in profit deals
3.0;15.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;83.87676618605983;578.0;1029.0;-9.494885361552024
3.0;15.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;31.81040887068613;603.0;986.0;-8.57760141093475
3.0;15.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;85.2348923560778;485.0;890.0;-8.39601300273108
3.0;15.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;119.17304403344176;472.0;786.0;-8.683774250440914
3.0;15.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;106.28640022390421;587.0;1062.0;-9.494885361552024
3.0;15.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;52.13136206309015;599.0;983.0;-8.57760141093475
3.0;15.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;46.885774507100166;528.0;884.0;-8.57760141093475
3.0;15.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;70.64570962952443;484.0;759.0;-8.39601300273108
3.0;15.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;40.696144631042344;493.0;826.0;-9.494885361552024
3.0;15.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;78.1332957099311;633.0;1013.0;-8.57760141093475
3.0;15.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;49.23247253968958;516.0;856.0;-8.57760141093475
3.0;15.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;96.84067528914845;462.0;760.0;-8.39601300273108
3.0;15.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;104.66482374570346;405.0;626.0;-8.39601300273108
3.0;18.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;19.364386361374464;610.0;1011.0;-8.39601300273108
3.0;18.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;9.194228350757264;528.0;878.0;-8.39601300273108
3.0;18.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;88.41250116090734;537.0;919.0;-8.39601300273108
3.0;18.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;82.18242380585356;562.0;1019.0;-8.39601300273108
3.0;18.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;40.44371358746332;610.0;1012.0;-8.39601300273108
3.0;18.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;-2.8459497503880034;527.0;848.0;-8.39601300273108
3.0;18.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;44.41373229265268;515.0;792.0;-9.494885361552024
3.0;18.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;97.12607340900492;555.0;1005.0;-9.494885361552024
3.0;18.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;18.2350606109363;649.0;1050.0;-8.39601300273108
3.0;18.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;-19.903767506278747;549.0;885.0;-8.39601300273108
3.0;18.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;36.14600692791241;482.0;779.0;-8.39601300273108
3.0;18.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;52.20661669124287;466.0;797.0;-9.494885361552024
3.0;18.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;32.32837095298869;652.0;1092.0;-9.494885361552024
3.0;18.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;-4.313846947955408;564.0;920.0;-8.39601300273108
3.0;18.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;32.080548788912594;518.0;815.0;-8.39601300273108
3.0;18.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;83.0432938673695;410.0;657.0;-8.57760141093475
3.0;21.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;24.905340608934786;579.0;982.0;-8.086601908529232
3.0;21.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;27.878324308489578;512.0;865.0;-8.39601300273108
3.0;21.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;76.31178616072742;479.0;871.0;-8.39601300273108
3.0;21.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;120.80033076250469;540.0;993.0;-8.39601300273108
3.0;21.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;28.62274064461283;610.0;1008.0;-8.086601908529232
3.0;21.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;-16.802912674569228;559.0;900.0;-8.39601300273108
3.0;21.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;51.557196146788215;473.0;782.0;-8.39601300273108
3.0;21.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;109.82445407204125;544.0;977.0;-8.39601300273108
3.0;21.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;46.13166516473379;667.0;1075.0;-8.086601908529232
3.0;21.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;-21.87079135632758;604.0;928.0;-8.39601300273108
3.0;21.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;49.600805414503526;490.0;830.0;-8.39601300273108
3.0;21.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;47.45032013798689;454.0;779.0;-9.494885361552024
3.0;21.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;47.46875601284853;657.0;1086.0;-8.086601908529232
3.0;21.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;19.61359556497772;621.0;968.0;-8.39601300273108
3.0;21.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;35.782973179008536;515.0;835.0;-8.39601300273108
3.0;21.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;42.19858077148227;431.0;662.0;-9.494885361552024
3.0;24.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;40.459251777151934;618.0;1082.0;-8.196547838276121
3.0;24.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;9.847644354957342;600.0;989.0;-8.39601300273108
3.0;24.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;56.80238202937336;485.0;909.0;-8.39601300273108
3.0;24.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;112.15687564020803;549.0;1014.0;-8.39601300273108
3.0;24.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;34.76610751883297;631.0;1125.0;-8.196547838276121
3.0;24.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;31.92634768843364;592.0;995.0;-8.39601300273108
3.0;24.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;35.54594551093834;508.0;861.0;-8.39601300273108
3.0;24.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;58.734459151626154;521.0;919.0;-8.39601300273108
3.0;24.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;24.46347480665795;639.0;1110.0;-8.196547838276121
3.0;24.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;14.201074318930708;620.0;1028.0;-8.196547838276121
3.0;24.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;47.10045777387052;484.0;895.0;-8.39601300273108
3.0;24.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;37.65642226352712;466.0;771.0;-8.39601300273108
3.0;24.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;46.37350216255935;641.0;1163.0;-8.086601908529232
3.0;24.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;21.084505532873614;663.0;1093.0;-8.086601908529232
3.0;24.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;32.549940230780805;538.0;902.0;-8.39601300273108
3.0;24.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;15.206948754490274;460.0;702.0;-9.494885361552024
3.0;27.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;87.11927374681439;629.0;1162.0;-8.086601908529232
3.0;27.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;62.303951614591284;561.0;1065.0;-8.196547838276121
3.0;27.0;0.2;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;62.73111788648326;512.0;929.0;-8.39601300273108
3.0;27.0;0.2;0.8;300.0;;12.0;14.0;3.0;12.0;54.16644664447628;531.0;962.0;-8.39601300273108
3.0;27.0;0.4;0.2;300.0;;12.0;14.0;3.0;12.0;65.33081681992917;633.0;1135.0;-8.086601908529232
3.0;27.0;0.4;0.4;300.0;;12.0;14.0;3.0;12.0;39.55691851890836;579.0;1065.0;-8.086601908529232
3.0;27.0;0.4;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;52.178387792843154;525.0;880.0;-8.39601300273108
3.0;27.0;0.4;0.8;300.0;;12.0;14.0;3.0;12.0;75.19968189164267;547.0;973.0;-8.39601300273108
3.0;27.0;0.6000000000000001;0.2;300.0;;12.0;14.0;3.0;12.0;67.85773848771795;636.0;1182.0;-8.196547838276121
3.0;27.0;0.6000000000000001;0.4;300.0;;12.0;14.0;3.0;12.0;31.742092856039196;600.0;1091.0;-8.086601908529232
3.0;27.0;0.6000000000000001;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;51.410437003323196;521.0;934.0;-8.39601300273108
3.0;27.0;0.6000000000000001;0.8;300.0;;12.0;14.0;3.0;12.0;43.02282957853829;485.0;802.0;-8.39601300273108
3.0;27.0;0.8;0.2;300.0;;12.0;14.0;3.0;12.0;70.41765821278965;649.0;1175.0;-8.196547838276121
3.0;27.0;0.8;0.4;300.0;;12.0;14.0;3.0;12.0;49.747417645558556;631.0;1124.0;-8.196547838276121
3.0;27.0;0.8;0.6000000000000001;300.0;;12.0;14.0;3.0;12.0;37.643213615482836;528.0;967.0;-8.39601300273108
3.0;27.0;0.8;0.8;300.0;;12.0;14.0;3.0;12.0;59.159221436812075;452.0;756.0;-8.39601300273108
6.0;9.0;0.2;0.2;300.0;;12.0;14.0;3.0;12.0;89.19508188019077;403.0;649.0;-8.487045253726809
6.0;9.0;0.2;0.4;300.0;;12.0;14.0;3.0;12.0;44.37361524947768;593.0;1046.0;-9.494885361552024
